symbol,date,entry_price,exit_date,exit_price,return,is_complete,in_optimal_zone,prev_weekly_red,prev_weekly_large_bottom_wick,prev_atr_declining,vol_spike,sector
ACN,2025-08-06 04:00:00,247.54,2026-01-09 05:00:00,280.5851,0.13349398077078467,False,True,True,True,True,False,Tech
ACN,2025-08-07 04:00:00,241.72,2026-01-09 05:00:00,280.5851,0.16078561972530214,False,True,True,True,True,False,Tech
ACN,2025-08-08 04:00:00,239.2,2026-01-09 05:00:00,280.5851,0.1730146321070236,False,True,True,True,True,False,Tech
ACN,2025-08-11 04:00:00,238.61,2026-01-09 05:00:00,280.5851,0.17591509157202134,False,True,True,False,False,False,Tech
ACN,2025-08-12 04:00:00,237.87,2026-01-09 05:00:00,280.5851,0.17957329633833607,False,True,True,False,False,False,Tech
ACN,2025-09-16 04:00:00,236.81,2026-01-09 05:00:00,280.5851,0.1848532578860691,False,True,True,True,True,False,Tech
PEP,2025-01-06 05:00:00,146.27,2026-01-08 05:00:00,139.37,-0.04717303616599444,True,False,False,True,True,False,Staples
PEP,2025-01-07 05:00:00,145.4,2026-01-09 05:00:00,140.055,-0.036760660247592836,True,False,False,True,True,False,Staples
PEP,2025-01-08 05:00:00,146.54,2026-01-09 05:00:00,140.055,-0.04425412856557931,False,False,False,True,True,False,Staples
PEP,2025-01-10 05:00:00,142.64,2026-01-09 05:00:00,140.055,-0.01812254627033072,False,False,False,True,True,False,Staples
BAC,2025-04-03 04:00:00,37.22,2026-01-09 05:00:00,56.175,0.5092692101020957,False,False,False,False,True,True,Finance
BAC,2025-04-04 04:00:00,34.39,2026-01-09 05:00:00,56.175,0.63346903169526,False,False,False,False,True,True,Finance
BAC,2025-04-07 04:00:00,35.58,2026-01-09 05:00:00,56.175,0.5788364249578415,False,False,True,False,False,True,Finance
BAC,2025-04-08 04:00:00,35.03,2026-01-09 05:00:00,56.175,0.6036254638880958,False,False,True,False,False,False,Finance
MRK,2025-02-05 05:00:00,89.67,2026-01-09 05:00:00,111.275,0.2409389985502397,False,False,True,False,True,False,Health
MRK,2025-02-06 05:00:00,88.05,2026-01-09 05:00:00,111.275,0.2637705848949461,False,False,True,False,True,False,Health
MRK,2025-02-07 05:00:00,87.28,2026-01-09 05:00:00,111.275,0.27491979835013747,False,False,True,False,True,False,Health
MRK,2025-02-10 05:00:00,86.4,2026-01-09 05:00:00,111.275,0.28790509259259256,False,True,False,False,True,False,Health
MRK,2025-02-11 05:00:00,86.54,2026-01-09 05:00:00,111.275,0.28582158539403735,False,False,False,False,True,False,Health
MRK,2025-02-12 05:00:00,85.67,2026-01-09 05:00:00,111.275,0.29887942103420095,False,True,False,False,True,False,Health
MRK,2025-02-13 05:00:00,84.42,2026-01-09 05:00:00,111.275,0.3181118218431651,False,True,False,False,True,False,Health
MRK,2025-02-14 05:00:00,83.01,2026-01-09 05:00:00,111.275,0.3405011444404289,False,True,False,False,True,False,Health
MRK,2025-02-18 05:00:00,83.29,2026-01-09 05:00:00,111.275,0.3359947172529716,False,True,True,False,False,False,Health
MRK,2025-04-04 04:00:00,81.47,2026-01-09 05:00:00,111.275,0.3658401865717442,False,True,True,False,True,False,Health
MRK,2025-04-07 04:00:00,81.18,2026-01-09 05:00:00,111.275,0.3707193890120719,False,True,True,True,False,False,Health
MRK,2025-04-08 04:00:00,78.95,2026-01-09 05:00:00,111.275,0.409436352121596,False,True,True,True,False,False,Health
MRK,2025-04-10 04:00:00,77.55,2026-01-09 05:00:00,111.275,0.4348807221147648,False,True,True,True,False,False,Health
MRK,2025-04-16 04:00:00,76.46,2026-01-09 05:00:00,111.275,0.4553361234632489,False,True,True,False,False,False,Health
AMD,2025-02-27 05:00:00,99.51,2026-01-09 05:00:00,204.85,1.0585870766757108,False,True,False,False,True,False,Tech
AMD,2025-02-28 05:00:00,99.86,2026-01-09 05:00:00,204.85,1.0513719206889647,False,True,False,False,True,False,Tech
AMD,2025-03-03 05:00:00,98.23,2026-01-09 05:00:00,204.85,1.0854117886592691,False,True,True,False,True,False,Tech
